FID;ID;ID_BD;ID_CODIGO;ID_MOD;FECHA_ALTA;ALTITUD;COD_IATA;COD_ICAO;COMPE_0615;TEN_T;TIPO_0615;ETIQUETA
72;367;0;0615P;0;20100806000000;0; ; ;02;01;03;Helipuerto
73;368;0;0615P;0;20101203000000;0; ; ;02;01;03;Helipuerto
74;369;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
75;370;0;0615P;0;20121228000000;0; ; ;02;01;03;Helipuerto
76;371;0;0615P;0;20100806000000;0; ; ;02;01;03;Helipuerto
77;372;0;0615P;0;20121228000000;0; ; ;02;01;03;Helipuerto
78;373;0;0615P;0;20121228000000;0; ; ;02;01;03;Helipuerto
79;374;0;0615P;0;20100806000000;0; ; ;02;01;03;Helipuerto
80;375;0;0615P;0;20121228000000;0; ; ;02;01;03;Helipuerto
81;376;0;0615P;0;20120409000000;0; ; ;02;01;03;Helipuerto
82;377;0;0615P;0;20120409000000;0; ; ;02;01;03;Helipuerto
83;378;0;0615P;0;20121228000000;0; ; ;02;01;03;Helipuerto
84;379;0;0615P;0;20121228000000;0; ; ;02;01;03;Helipuerto
85;380;0;0615P;0;20121121000000;989; ; ;02;01;02;Aeródromo de Infoca
86;381;0;0615P;0;20121122000000;1056; ; ;02;01;02;Aeródromo de Infoca
87;382;0;0615P;0;20110511000000;0; ; ;02;01;03;Helipuerto
88;383;0;0615P;0;20130319000000;0; ; ;02;01;03;Helipuerto de Tropicopter
89;384;0;0615P;0;20130416000000;770; ; ;02;01;02;Aeródromo de Loja
90;385;0;0615P;0;20130417000000;742; ; ;02;01;02;Aeródromo de Atarfe
91;386;0;0615P;35582;20130117000000;616; ; ;02;01;02;Aerobase
92;388;0;0615P;0;20130117000000;39; ;LEAX;02;01;02;Aeródromo de La Axarquía-Leoni Benabu
93;389;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
94;390;0;0615P;0;20120206000000;0; ; ;02;01;03;Helipuerto
95;391;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
96;392;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
97;393;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
98;394;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
99;395;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
100;396;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
101;397;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
102;398;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
103;399;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
104;400;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
105;401;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
106;402;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
107;403;0;0615P;0;20120323000000;0; ; ;02;01;03;Helipuerto
108;404;0;0615P;0;20120323000000;0; ; ;02;01;03;Helipuerto
109;405;0;0615P;0;20120323000000;0; ; ;02;01;03;Helipuerto
110;406;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
111;407;0;0615P;0;20120323000000;0; ; ;02;01;03;Helipuerto
112;408;0;0615P;0;20120323000000;0; ; ;02;01;03;Helipuerto
113;409;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
114;410;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
115;411;0;0615P;0;20120323000000;0; ; ;02;01;03;Helipuerto
116;412;0;0615P;0;20120323000000;0; ; ;02;01;03;Helipuerto
117;413;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
118;414;0;0615P;0;20120206000000;0; ; ;02;01;03;Helipuerto
119;415;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
120;416;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
121;417;0;0615P;0;20120327000000;0; ; ;02;01;03;Helipuerto
122;418;0;0615P;0;20130407000000;432; ; ;01;01;02;Aeródromo de Antequera
123;419;0;0615P;0;20121114000000;28; ;LERT;03;01;01;Aeropuerto de la Base Naval de Rota
124;420;0;0615P;0;20140821084850;26;XRY;LEJR;01;02;01;Aeropuerto de Jerez
125;421;0;0615P;0;20121114000000;109; ; ;02;01;02;Aeródromo de Tomás Fernández Espada
